2026-03-06 21:24:40,http://74.91.26.218:82/live/cctv1hd.m3u8
湖南电视剧,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPWY2MjMxYjM4MmQ1Y2EzMmNlMWU2OTNkMjVmMWRiYjdlJnVpZD0mdXVpZD1iYTMxNzBlYzExODZhMWRjZDk5MmE3ODcwMzAyMWQ1Ny02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzczNTU3NzY1/HNDSJMPP360.m3u8
大湾区卫视,https://iptv.catvod.com/live.php?id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&line=2
卡酷少儿,rtp://239.3.1.189:8000
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPWQwYjJkNGI4ZmVhMTE2YmJmZWQ5Nzk4NmU1ZDRjY2VhJnVpZD0mdXVpZD01NGYyZjBlZTNhODM4OTk4OTczNDBmNDFiNTY3M2Y3Mi02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzczNTUwNTM0/CSXWMPP360.m3u8
大湾区卫视,https://iptv.catvod.com/live.php?id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86
金鹰纪实,rtp://239.3.1.58:8156
澳门卫视,http://61.244.22.4/ch1/ch1.live/playlist.m3u8
浙江经济生活,http://ali-xwl.cztv.com/live/channel03720Plxw.m3u8
茶友频道,rtp://239.3.1.165:8001
Pet Club TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
浙江教育,http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
快乐垂钓,rtp://239.3.1.164:8001
Bloomberg TV Asia,http://210.210.155.37/dr9445/h/h03/index.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
中国教育,rtp://239.3.1.57:8152
KIX,http://210.210.155.37/dr9445/h/h07/index.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
中国交通,rtp://239.3.1.188:8001
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
证券服务,rtp://239.3.1.24:8001
Celestial Movies,http://210.210.155.37/dr9445/h/h14/index.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8
睛彩竞技,rtp://239.3.1.125:8001
tvN Movies Asia,http://210.210.155.37/dr9445/h/h21/index.m3u8
浙江国际,http://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
睛彩篮球,rtp://239.3.1.126:8001
TVB News,http://r.jdshipin.com/CkuBd
浙江国际,http://ali-xwl.cztv.com/live/channel10720Plxw.m3u8
睛彩青少,rtp://239.3.1.127:8001
Good,https://live.streamingfast.net/osmflivech1.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8
睛彩广场舞,rtp://239.3.1.128:8001
Good 2,https://live.streamingfast.net/osmflivech2.m3u8
湖州新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865
爱上4K,rtp://239.3.1.236:2000
Beautiful Life TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
湖州文化娱乐,http://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
4K超清,rtp://239.3.1.249:8001
Supreme Master TV,https://lbs-us1.suprememastertv.com/720p.m3u8
浙江经视,http://ali-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
城市剧场,rtp://239.3.1.67:4120
TVBS-Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
浙江数码时代,http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8
军旅剧场,rtp://239.3.1.68:4120
Taiwan Plus TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
浙江教科影视,http://ali-xwl.cztv.com/live/channel04720Plxw.m3u8
古装剧场,rtp://239.3.1.69:4120
Genius Go Go Go,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
浙江休闲台,http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
精选高清,rtp://239.3.1.74:4120
DaAi 1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
武侠剧场,rtp://239.3.1.90:4120
DaAi 2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
象山综合,http://play-sh13.quklive.com/live/1702360350551252.m3u8?auth_key=2037107484-800189c57a5a44d3b823b60cf84f6756-0-a6f6828a62d5c167cff5e68735fa0d39
喜剧影院,rtp://239.3.1.91:4120
Dali TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
,动作影院,rtp://239.3.1.92:4120
EBC YOYO,https://ythls.armelin.one/channel/UCiWRSesvSYmY7YOyz0tv_zQ.m3u8
萧山新闻综合,https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
家庭影院,rtp://239.3.1.93:4120
CTi News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
缙云新闻综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
星影高清,rtp://239.3.1.94:4120
FTV News,https://ythls.armelin.one/channel/UC2VmWn8dAqkzlQqvy02E1PA.m3u8
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
光影高清,rtp://239.3.1.84:4120
Global News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
湖州公共民生,http://hzcm-live.media.hugd.com/1e6b554b9ab74513958c0e1ffe664d22/9acaa7634309494cb29a85eb12136607.m3u8?auth_key=2272900830-9a2389b8bf4e49d580d4ad807423d326-0-ea78a5c7a678c436263582d368f5009e
动画高清,rtp://239.3.1.80:4120
SET iNews,https://ythls.armelin.one/channel/UCoNYj9OFHZn3ACmmeRCPwbA.m3u8
海宁新闻综合,https://p2hs.vzan.com/slowlive/317913155078575177/live.m3u8
经典电影,rtp://239.3.1.195:9024
TTV News,https://ythls.armelin.one/channel/UC8ROUUjHzEQm-ndb69CX8Ww.m3u8
普陀电视台,https://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
group-title="数字" zz-definition="HD",重温经典,rtp://239.3.1.25:8001
mnews,https://ythls.armelin.one/channel/UC4LjkybVKXCDlneVXlKAbmw.m3u8
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
热播剧场,rtp://239.3.1.194:9020
ET Mall 60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
文成新闻综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
魅力时尚,rtp://239.3.1.196:9012
寰宇新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
数码时代,http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed
少儿动画,rtp://239.3.1.199:9000
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
平湖新闻综合,http://play-sh13.quklive.com/live/1690167908295069.m3u8?auth_key=2027466211-f190eec410c24473825cbe1d8541e545-0-f21db57ae1b534802c1cf7be86cc3aef
